slug,rotulo,natureza,estatuto,pai,definicao
modelo-de-confianca,Modelo de confiança,modelo,doutrinario,,"Como a confiança se origina e se propaga num sistema: o que se aceita por decisão, o que se deriva, e por que caminho. Distingue os arranjos hierárquico, em teia e por ponte. Responde de onde vem a confiança, não que controle a protege."
modelo-maturidade,Modelo de maturidade,modelo,doutrinario,,"Estágio contra o qual a capacidade e o desempenho de uma organização ou processo são medidos e melhorados, refletindo a previsibilidade dos resultados ao longo do tempo."
modelos-de-raciocinio,Modelo de raciocínio,modelo,doutrinario,,"Modelo treinado para pensar antes de responder: os passos intermediários vêm do treino, não de um pedido bem escrito. Na prática, mandar ""pense passo a passo"" acrescenta pouco a ele, e o que se regula é quanto esforço deixá-lo gastar antes de concluir. Custa mais caro e demora mais por resposta, o que só compensa em problema difícil."
modelos-embedding,Modelo de embedding,modelo,doutrinario,embeddings,"Programa que faz a conversão de texto em coordenada. A escolha dele é um compromisso, não um detalhe: cada um desenha o próprio espaço, e coordenadas produzidas por programas diferentes não se comparam entre si. Trocar obriga a refazer tudo o que já estava guardado — as coordenadas antigas não ficam erradas, ficam incomparáveis, e a busca passa a devolver bobagem sem acusar erro nenhum."
monitoramento-continuo,Monitoramento contínuo,processo,natural,controle-de-seguranca,Acompanhamento automatizado e em tempo real de redes e sistemas para detectar ameaças e vulnerabilidades continuamente.
monte-carlo-tree-search,Monte Carlo Tree Search,processo,doutrinario,busca-em-arvore,"Método de escolher galhos jogando dados: em vez de avaliar todas as continuações, sorteia algumas até o fim, vê quais deram bom resultado e passa a explorar mais onde a amostra foi melhor. Dispensa alguém escrever uma fórmula de quanto vale cada posição — a amostragem substitui esse julgamento. Em troca precisa de muitas amostras, e se engana quando o bom caminho é raro o bastante para o sorteio não encontrar."
movimento-lateral,Movimento lateral,processo,natural,taticas-e-tecnicas-adversarias,"Conjunto de técnicas em que um invasor, após a entrada inicial em uma rede, espalha seu alcance para outros sistemas e dispositivos em busca de ativos de maior valor."
mundo-vs-convencao,Mundo vs. convencao,modelo,doutrinario,,O eixo: o modelo pretende descrever o mundo ou registrar o acordo de uma comunidade.
negar-por-padrao,Negar por padrão,modelo,doutrinario,controle-de-seguranca,"Conceder só o necessário à função, pelo tempo necessário."
objetivos-de-recuperacao,Objetivos de recuperação,modelo,doutrinario,,Métricas que definem os limites máximos aceitáveis para tempo de inatividade (RTO) e perda de dados (RPO) após uma interrupção ou desastre.
ocr,OCR,processo,natural,extracao-dados,"Recuperação do texto contido numa imagem de documento. Caso de extração em que a fonte não tem camada de texto: o que existe é o desenho das letras, e a leitura é inferida do desenho. Herda de extração o compromisso de preservar o que estava lá, e acrescenta a cadeia de decisões que a fonte digital dispensa — orientação, escrita, idioma, segmentação da página."
okr,OKR,modelo,doutrinario,gestao-por-metricas,Framework colaborativo de definição de metas para alinhar equipes em torno de objetivos e resultados mensuráveis.
ontologia-fundacional,Ontologia fundacional,modelo,doutrinario,,Camada de topo que fixa as categorias mais gerais e serve de hub para ontologias de dominio.
ontologia-juridica,Ontologia juridica,modelo,doutrinario,,"Modelagem de entidades instituidas por norma, que nao tem existencia fisica."
orcamento-publico,Orcamento publico,modelo,instituido,,"Instrumento legal e de planejamento pelo qual o governo estima as receitas e fixa as despesas para um determinado período, visando controlar as finanças públicas e executar as ações governamentais."
orquestracao-multi-agente,Orquestração multi-agente,processo,doutrinario,automacao-processos,"Combinado que faz vários programas autônomos trabalharem no mesmo objetivo sem se atrapalhar: como o trabalho se divide, como eles trocam informação e o que caracteriza terminado. Sem isso, dois deles refazem a mesma coisa, ou escrevem por cima um do outro e o segundo apaga o trabalho do primeiro. O combinado é o desenho, não o programa que o aplica."
orquestrador,Orquestrador,disposicao,natural,,"Peça de software que reparte um trabalho entre vários programas autônomos e controla a ordem: quem faz o quê, o que espera pelo quê, o que acontece quando um falha. É componente identificável — dá para apontar o arquivo e o processo. O combinado que ele faz cumprir é o desenho; ele é a peça que executa o desenho."
pesos-do-modelo,Pesos do modelo,modelo,natural,,"Os números que o treino ajustou e que ficam guardados no arquivo do modelo. São eles que determinam a resposta: mesmo modelo, mesmos números, mesma entrada, mesma saída. Contá-los (""7 bilhões"") dá uma ideia grosseira da capacidade e uma ideia exata do espaço que ele ocupa em disco e em memória. Não confundir com as opções que se regulam na hora de usar, como temperatura: essas não vieram do treino."
pipeline-rag,Pipeline RAG,modelo,doutrinario,,"Montagem em que o modelo, antes de responder, busca trechos numa base própria e responde a partir deles — RAG, sigla inglesa para geração aumentada por recuperação. São duas máquinas: uma que prepara e indexa os documentos, rodando de vez em quando, e outra que a cada pergunta busca e monta o pedido. Serve para responder sobre o que o modelo não viu no treino e para poder mostrar de onde saiu cada afirmação."
plataformas,Plataformas,modelo,natural,,"Base ou estrutura que permite a interação e o funcionamento conjunto de múltiplos componentes, aplicações ou tecnologias, servindo de fundação para a construção de outro software ou hardware."
porta-para-fora-porta-para-dentro,Porta-para-fora vs. porta-para-dentro,fenomeno,doutrinario,,"O arcabouço regula densamente o que rende visibilidade política (compra, benefício, atendimento) e cala sobre a gestão interna e a engenharia que fazem o conjunto funcionar. Procurar: norma de processo de negócio abundante e norma técnica de integração ausente sobre o mesmo objeto."
prevencao-a-fraude,Prevenção a fraude,processo,doutrinario,,"Práticas e controles voltados a impedir, detectar e responder a atos de obtenção de vantagem indevida por engano ou falsidade."
prevencao-de-vazamento,Prevenção de vazamento,modelo,natural,,"Conjunto de práticas, políticas e tecnologias utilizadas para impedir o acesso não autorizado, a exposição ou a perda de dados confidenciais."
primitiva-criptografica,Primitiva criptográfica,modelo,natural,,Objeto matemático que engloba os algoritmos que realizam uma tarefa específica de segurança.
procedencia-vs-corretude,Procedência vs. corretude,fenomeno,doutrinario,atestacao-confianca,"O que a garantia cobre: que o artefato é o que foi selado e veio de quem diz ter vindo, ou que o que ele afirma está certo. Sistemas que atestam a primeira são rotineiramente lidos como se atestassem a segunda."
product-discovery,Product discovery,processo,doutrinario,,Processo de compreender as necessidades dos usuários e validar soluções antes de investir recursos no desenvolvimento.
prompt-injection,Prompt injection,processo,doutrinario,,Ataque cibernético contra modelos de linguagem (LLMs) onde comandos maliciosos são ocultados em dados ou entradas ordinárias para sobrescrever as instruções originais do sistema e forçar ações indesejadas.
prontuario-eletronico,Prontuario eletronico,modelo,instituido,,Repositorio de informacoes de saude mantidas de forma eletronica ao longo da vida de um individuo.
qualidade-de-dado,Qualidade de dado,modelo,doutrinario,,"Dimensões pelas quais o dado é aferido apto ao uso, e o regime que as verifica. Distinguir entrega de dado (recebido) de dado válido (verificado): o recibo confirma a primeira e não a segunda."
quantizacao,Quantização,processo,natural,,"Guardar os números do modelo com menos casas — de 16 bits para 4, por exemplo — para que ele caiba em máquina menor e responda mais rápido. Um modelo que não entrava na placa de vídeo passa a entrar, e é essa a razão de existir da técnica. A troca é qualidade: a perda costuma ser pequena em pergunta simples e maior no que exige encadear passos."
raciocinador,Raciocinador,modelo,doutrinario,,"Programa que calcula as consequências lógicas de um conjunto de axiomas: recebe definições e fatos declarados e devolve o que também é verdade por força deles, sem que ninguém tenha escrito. Opera sobre a classificação declarada, nunca sobre o texto das obras. Devolve hierarquia classificada, realização de indivíduos, classes insatisfatíveis e equivalências não previstas; por hipótese de mundo aberto, não responde sobre completude."
rag-antes-de-fine-tuning,RAG antes de fine-tuning,modelo,doutrinario,,"Diante de um modelo que erra por não conhecer os seus dados, o caminho barato é entregar os documentos na hora da pergunta, e não retreinar o modelo. Retreinar custa preparo de dados, máquina e repetição a cada atualização; entregar documento na hora se corrige editando um arquivo. Retreinar continua servindo para outra coisa — mudar comportamento, formato ou tom —, não para injetar conhecimento que muda toda semana."
raiz-de-confianca,Raiz de confiança,disposicao,doutrinario,modelo-de-confianca,"Componente que se aceita como confiável sem poder ser verificado por nada abaixo dele, e sobre o qual toda a verificação subsequente se apoia. Em hardware, o primeiro componente energizado; em PKI, a autoridade que assina a si mesma."
rbac,RBAC,modelo,doutrinario,autorizacao,Modelo de controle de acesso que concede permissões com base em papéis ou funções predefinidas do usuário dentro da organização.
recuperacao-semantica,Recuperação semântica,processo,doutrinario,,"Buscar trechos pelo sentido da pergunta em vez das palavras dela: pergunta e trechos viram coordenadas, e devolve-se o que ficou perto. Assim ""demissão sem justa causa"" encontra um texto que só fala em ""rescisão imotivada"". O outro lado é errar por sentido: um trecho próximo no assunto e inútil na resposta também está perto, e nada na busca acusa a diferença."
rede-neural,Rede neural,modelo,doutrinario,,"Modelo feito de camadas de unidades simples ligadas entre si, em que cada ligação carrega um número que o treino ajusta. Nenhuma unidade sabe nada sozinha: a capacidade vem da combinação de muitas. Ter muitas camadas — o tal ""profundo"" — muda o grau e não a natureza, permitindo representar coisa mais composta com o mesmo mecanismo."
regime-de-classificacao,Regime de classificação,modelo,instituido,classificacao-da-informacao,Estrutura legal e administrativa que regula a atribuição de sigilo e restrição de acesso a informações públicas para salvaguardá-las contra divulgação não autorizada.
requisitos-sigad,Requisitos de SIGAD,modelo,instituido,,"Especificação do que um sistema precisa cumprir para gerir documento arquivístico com validade: captura, classificação, temporalidade, trilha e preservação. É a régua contra a qual o sistema é avaliado, não o sistema."
resiliencia-sistemas,Resiliência de sistemas,disposicao,natural,sistemas-distribuidos,"Comportamento sob falha parcial: o que continua servindo, o que degrada e o que cai junto. Inclui a decisão deliberada de servir pior em vez de não servir."
rest,REST,modelo,doutrinario,api,"REST é um jeito de desenhar APIs na web em que cada coisa do sistema — um cliente, um pedido — tem um endereço próprio (uma URL), e todas se manipulam com o mesmo punhado de verbos: buscar, criar, atualizar, apagar. O servidor não guarda memória da conversa entre uma chamada e outra; cada chamada carrega tudo de que precisa. A uniformidade é o ganho: quem aprende a usar um recurso sabe usar todos."
retencao-e-descarte,Retenção e descarte,modelo,instituido,,Definição dos limites temporais para o armazenamento de dados e dos procedimentos para sua eliminação ou anonimização segura.
retencao-estrutural,Retenção estrutural,disposicao,doutrinario,armadilha-de-capacidade,"O conhecimento caro fica inscrito em artefato consultável (modelo público, contrato tipado, selo, ferramenta distribuída) em vez de na memória de quem o construiu, e por isso é absorvível por quem não o produziu. Arquitetura que retém não é o mesmo que instituição que sustenta."
reuso-de-modelos,Reuso de modelos,modelo,natural,,Estratégia de aproveitar modelos conceituais ou de dados preexistentes para agilizar o desenvolvimento e garantir consistência na modelagem de novos sistemas.
sakm,SAKM,processo,doutrinario,,"Captura, compartilhamento e reutilização de conhecimento relacionado à arquitetura de software."
sanitizacao-de-midia,Sanitização de mídia,processo,natural,retencao-e-descarte,"Remoção lógica de dados de um dispositivo de armazenamento para impedir a recuperação das informações, preservando o equipamento para reutilização."
segmentacao-de-rede,Segmentação de rede,processo,natural,defesa-em-profundidade,Prática de dividir uma rede em seções menores e isoladas para mitigar a propagação de ataques e o movimento lateral.
segmentacao-produto,Segmentação de produto,modelo,doutrinario,,Estratégia de dividir o mercado em grupos com características e necessidades comuns para orientar o desenvolvimento e o marketing de produtos.
segregacao-de-funcoes,Segregação de funções,modelo,doutrinario,controle-de-seguranca,Nenhuma pessoa concentra as etapas que se controlam mutuamente.
seguranca-por-concepcao,Segurança por concepção,modelo,doutrinario,,Abordagem que integra controles e requisitos de segurança desde a fase inicial de concepção e design de um sistema ou produto.
seis-dimensoes-ci-ddd,Seis dimensões CI/DDD,modelo,doutrinario,,"Grade de contraste entre a tradição de Ciência da Informação/Organização do Conhecimento (tesauro, KOS) e o Domain-Driven Design, usada para prever o modo de falha dos vocabulários controlados no Estado"
self-consistency,Autoconsistência,processo,doutrinario,chain-of-thought,"Fazer a mesma pergunta várias vezes, deixando o modelo raciocinar por caminhos diferentes, e ficar com a resposta que mais se repetiu. A aposta é que o erro se espalha e o acerto converge. Custa tantas execuções quantas forem as tentativas, então se usa onde errar sai caro — e não funciona quando o modelo erra sempre do mesmo jeito, porque aí a maioria também erra."
servico-compartilhado-generico-cross,Serviço compartilhado genérico cross,modelo,doutrinario,,Modelo de organização por processos que centraliza serviços transversais e de apoio comuns a diversas áreas da organização.
shape-up,Shape Up,modelo,doutrinario,,"Metodologia de desenvolvimento de produto que substitui backlogs por ciclos fixos de trabalho (geralmente de 6 semanas) com escopo flexível, focada em moldar, apostar e construir soluções com autonomia."
sistema-de-sistemas,Sistema de sistemas,modelo,doutrinario,,"Conjunto cujos constituintes mantêm independência operacional e gerencial, evoluem em ritmos próprios e produzem comportamento emergente não atribuível a nenhum deles. Distinto de sistema distribuído: ali os nós são distribuídos e o dono é um; aqui os donos são vários."
sistemas-distribuidos,Sistemas distribuídos,modelo,natural,,"Coleção de computadores ou dispositivos independentes conectados em rede que cooperam entre si e compartilham recursos, parecendo ao usuário um sistema único."
skills,Skill,modelo,doutrinario,engenharia-contexto,"Pasta com instruções e arquivos de apoio que o modelo carrega só quando a tarefa pede — como sua empresa formata um relatório, por exemplo. O ganho é não pagar aquele texto em toda conversa: o que não foi carregado não ocupa espaço nem distrai. Os pesos do modelo não mudam; muda o que ele tem à mão na hora."
soberania-tecnologica,Soberania tecnológica,disposicao,doutrinario,,"Capacidade de Estados e comunidades de exercer controle autônomo sobre tecnologias, infraestruturas digitais e dados, reduzindo dependências externas e garantindo a autodeterminação no espaço digital."
software-delivery,Software delivery,processo,natural,,"Processo completo de desenvolvimento, teste e implantação para entregar e manter um produto de software funcional ao usuário final."
software-livre,Software livre,modelo,doutrinario,,"Programa de computador que pode ser usado, copiado, estudado e redistribuído sem restrições, atendendo às quatro liberdades essenciais definidas pela Free Software Foundation."
substrato-de-hospedagem,Substrato de hospedagem,disposicao,natural,regime-de-classificacao,Infraestrutura ou base tecnológica subjacente que suporta o armazenamento e a execução de aplicações dentro de um regime de classificação.
superficie-de-ataque,Superfície de ataque,disposicao,natural,,Conjunto de pontos de entrada e vulnerabilidades que um invasor pode explorar para violar um sistema ou rede.
taticas-e-tecnicas-adversarias,Táticas e técnicas adversárias,modelo,doutrinario,,"Métodos, procedimentos e ações empregados por adversários ou atacantes para comprometer e infiltrar-se em sistemas, redes ou dados."
teia-de-confianca,Teia de confiança,modelo,doutrinario,modelo-de-confianca,"Arranjo em que a confiança se acumula por endossos laterais entre pares, sem autoridade central que a origine. Contraste canônico do modelo hierárquico."
teste-de-contrato,Teste de contrato,modelo,natural,,"Verificar que a interação entre um serviço consumidor e um provedor obedece a um contrato acordado, sem subir os dois sistemas juntos — distinto de contrato de interface (a especificação em si, o que a API promete): teste de contrato é a verificação automatizada de que a promessa se sustenta, e roda por serviço, não por par."
teste-de-intrusao,Teste de intrusão,processo,natural,,"Ataque simulado autorizado contra sistemas, redes e aplicações para identificar e explorar vulnerabilidades de segurança antes que invasores o façam."
tipologia-de-controles,Tipologia de controles,modelo,doutrinario,controle-de-seguranca,"Classificação dos controles de segurança com base no momento de sua aplicação em relação a uma violação, comumente divididos em preventivos, detectivos e corretivos."
titularidade-do-core,Titularidade do core,modelo,doutrinario,armadilha-de-capacidade,"Quem opera e evolui o domínio central, e o que é delegado como genérico. Falha: core entregue sob escopo fechado a fornecedor. Positivo: genérico terceirizado com o core e sua evolução retidos no dono."
tolerancia-bizantina,Tolerância bizantina,disposicao,doutrinario,sistemas-distribuidos,"O sistema opera corretamente ainda que parte dos participantes minta, falhe arbitrariamente ou aja contra o conjunto. Os nós adversários são parte do modelo, não exceção a ele."
ferramenta-de-agente,Ferramenta de agente,disposicao,natural,,"Função que um programa autônomo pode chamar para fazer algo fora de si: ler um arquivo, consultar um banco, enviar mensagem. É o que separa um sistema que só escreve texto de um que age no mundo. O modelo escolhe qual chamar pela descrição escrita de cada uma, então descrição ambígua produz escolha errada — e o conserto é no texto da descrição, não no modelo."
topologia-de-integracao,Topologia de integração,modelo,natural,sistemas-distribuidos,"Arranjo dos caminhos pelos quais os sistemas se alcançam, e as consequências de cada arranjo sobre acoplamento, ponto único de falha e custo de agregar um novo participante."
transicao-pqc,Transição PQC,processo,doutrinario,,Processo de migração de sistemas criptográficos clássicos para algoritmos de criptografia pós-quântica (PQC) resistentes a ataques de computadores quânticos.
tratamento-de-risco,Tratamento de risco,processo,doutrinario,gestao-de-risco,"Processo de estipular uma resposta ao risco, definindo estratégias para mitigar, transferir, aceitar ou eliminar as ameaças mapeadas."
triade-cid,Tríade CID,modelo,doutrinario,,"Modelo fundamental de segurança da informação baseado em três pilares: confidencialidade, integridade e disponibilidade."
trilha-de-auditoria,Trilha de auditoria,modelo,natural,,"Registro das atividades, eventos e ações que uma pessoa ou sistema realiza ao lidar com dados."
trunk-based-development,Trunk-based development,modelo,natural,,"Trunk-based development é a prática de todo desenvolvedor integrar o próprio código ao ramo principal do repositório pelo menos uma vez por dia, em vez de trabalhar semanas num ramo separado. Ramo que vive muito acumula divergência, e juntar tudo no fim vira um conflito grande e arriscado; a integração diária mantém os conflitos pequenos e o principal sempre perto de publicável. Trabalho inacabado convive no principal atrás de uma chave que o mantém desligado, não em ramo à parte."
validacao-de-ontologias,Validacao de ontologias,processo,doutrinario,,"Verificar se um modelo diz o que pretende dizer, antes do uso."
verificabilidade,Verificabilidade,disposicao,doutrinario,modelo-de-confianca,"Propriedade de um sistema cujo resultado pode ser conferido por quem não confia em quem o produziu, sem depender de inspecionar o mecanismo. Distinguir de transparência: publicar o mecanismo não torna o resultado verificável."
vigilancia-epidemiologica,Vigilancia epidemiologica,processo,instituido,,"Processo sistemático e contínuo de coleta, análise, interpretação e disseminação de informações para a detecção e prevenção de doenças e agravos à saúde."
zero-trust,Zero Trust,modelo,doutrinario,,"Abordagem de segurança baseada no princípio de desconfiança implícita, exigindo verificação contínua e autorização explícita para cada solicitação de acesso a recursos."
